"date","drug1","drug2","drug3","drug4","drug5","drug6","drug7","drug8","drug9","drug10","drug11",
"01 Jul 14","0","0",,,,,,,,,,
"02 Jul 14","0","0",,,,,,,,,,
"03 Jul 14","0","0",,,,,,,,,,
"04 Jul 14","0","0",,,,,,,,,,
"05 Jul 14","0","0",,,,,,,,,,
"06 Jul 14","0","0",,,,,,,,,,
"07 Jul 14","0","0",,,,,,,,,,
"08 Jul 14","0","0",,,,,,,,,,
"09 Jul 14","0","0",,,,,,,,,,
"10 Jul 14","0","0",,,,,,,,,,
"11 Jul 14","0","0",,,,,,,,,,
"12 Jul 14","0","0",,,,,,,,,,
"13 Jul 14","0","0",,,,,,,,,,
"14 Jul 14","0","0",,,,,,,,,,
"15 Jul 14","0","0",,,,,,,,,,
"16 Jul 14","0","0",,,,,,,,,,
"17 Jul 14","0","0",,,,,,,,,,
"18 Jul 14","0","0",,,,,,,,,,
"19 Jul 14","0","0",,,,,,,,,,
"20 Jul 14","0","0",,,,,,,,,,
"21 Jul 14","90","0",,,,,,,,,,
"22 Jul 14","30","0",,,,,,,,,,
"23 Jul 14","0","0",,,,,,,,,,
